"","kegg_id","path","mono_mass","biofluids","diseases"
"1","C01152","hmdb/HMDB00001.xml","169.085126611","Blood/Cerebrospinal Fluid (CSF)/Saliva/Urine","Kidney disease/Blood//Kidney disease/Blood//Alzheimer's disease/Blood//Alzheimer's disease/Cerebrospinal Fluid (CSF)//Obesity/Urine//Diabetes/Urine//ADPKD /Urine//Alzheimer's disease /Urine//Propionic acidemia /Urine//Maple syrup urine disease /Urine//Aminoaciduria/Urine"
"2","C00986","hmdb/HMDB00002.xml","74.08439833","Blood/Urine","Breast cancer /Blood//Leukemia/Urine"
"3","C00109","hmdb/HMDB00005.xml","102.031694058","Blood/Cerebrospinal Fluid (CSF)/Urine",""
"4","C05984","hmdb/HMDB00008.xml","104.047344122","Blood/Cerebrospinal Fluid (CSF)/Urine","Pyruvate dehydrogenase deficiency/Urine"
"5","C05299","hmdb/HMDB00010.xml","300.172544634","Blood/Urine","Prolactinoma/Urine"
"6","C01089","hmdb/HMDB00011.xml","104.047344122","Blood/Cerebrospinal Fluid (CSF)/Urine","Diabetes/Blood//Diabetes/Blood//Diabetes/Blood//Diabetes/Blood//Meningitis/Cerebrospinal Fluid (CSF)//Diabetes/Cerebrospinal Fluid (CSF)//Diabetes/Urine"
"7","C00526","hmdb/HMDB00012.xml","228.074621504","Blood/Cerebrospinal Fluid (CSF)/Urine",""
"8","C00881","hmdb/HMDB00014.xml","227.090605919","Blood/Urine",""
"9","C05488","hmdb/HMDB00015.xml","346.214409448","Blood/Urine",""
"10","C03205","hmdb/HMDB00016.xml","330.219494826","Amniotic Fluid/Blood",""
"11","C00847","hmdb/HMDB00017.xml","183.053157781","Blood/Urine","Critically ill/Urine"
"12","C00141","hmdb/HMDB00019.xml","116.047344122","Blood/Cerebrospinal Fluid (CSF)/Urine","Heart Transplant/Blood//Maple syrup urine disease/Urine"
"13","C00642","hmdb/HMDB00020.xml","152.047344122","Blood/Cerebrospinal Fluid (CSF)/Saliva/Urine","Schizophrenia/Cerebrospinal Fluid (CSF)//Epilepsy/Cerebrospinal Fluid (CSF)//Hypertension (mild)/Urine//Hypertension (mild)/Urine//Preterm infants/Urine//Meningomyelocoele/Urine//Lung cancer/Urine"
"14","C02515","hmdb/HMDB00021.xml","306.970536611","Blood","Athyroic patients /Blood"
"15","C05587","hmdb/HMDB00022.xml","167.094628665","Blood/Cerebrospinal Fluid (CSF)/Urine","Parkinson's Disease/Cerebrospinal Fluid (CSF)"
"16","C06001","hmdb/HMDB00023.xml","104.047344122","Blood/Cerebrospinal Fluid (CSF)/Urine","Diabetes /Blood//3-Hydroxyisobutyric Aciduria/Urine"
"17","C06125","hmdb/HMDB00024.xml","891.646933513","Urine","Metachromatic Leukodystrophy (MLD)/Urine"
"18","C02642","hmdb/HMDB00026.xml","132.053492132","Blood/Cerebrospinal Fluid (CSF)/Urine","Dihydropyrimidinase deficiency/Cerebrospinal Fluid (CSF)"
"19","C00272","hmdb/HMDB00027.xml","241.117489371","Blood/Cerebrospinal Fluid (CSF)","Septic shock/Blood//Septic shock/Blood//Myocardial infarction/Blood//Seizures/Cerebrospinal Fluid (CSF)"
"20","C00120","hmdb/HMDB00030.xml","244.088163078","Blood/Cerebrospinal Fluid (CSF)/Urine","acute lymphoblastic leukemia/Cerebrospinal Fluid (CSF)//Bronchopulmonary dysplasia/Cerebrospinal Fluid (CSF)//Burkitt's lymphoma/Cerebrospinal Fluid (CSF)//Dementia/Cerebrospinal Fluid (CSF)//Epilepsy/Cerebrospinal Fluid (CSF)//Head injury/Cerebrospinal Fluid (CSF)//Lymphoblastic lymphoma/Cerebrospinal Fluid (CSF)//Motor Neuron disease/Cerebrospinal Fluid (CSF)//Multiple sclerosis/Cerebrospinal Fluid (CSF)//Polyneuropathy/Cerebrospinal Fluid (CSF)//Vascular encephalopathies/Cerebrospinal Fluid (CSF)"
"21","C00523","hmdb/HMDB00031.xml","290.224580204","Blood/Cerebrospinal Fluid (CSF)/Urine","Leuprolide acetate-induce hypogonadism/Cerebrospinal Fluid (CSF)//Leuprolide acetate-induced hypogonadism with testosterone replacment/Cerebrospinal Fluid (CSF)//Stress urinary incontinence/Urine//Hirsutism/Urine"
"22","C01164","hmdb/HMDB00032.xml","384.33921603","Blood/Cerebrospinal Fluid (CSF)/Urine","Smith-Lemli-Opitz syndrome/Blood//Smith-Lemli-Opitz syndrome/Cerebrospinal Fluid (CSF)"
"23","C00386","hmdb/HMDB00033.xml","226.106590334","Blood/Urine","Alzheimer's disease/Blood//Carnosinuria/Urine//Alzheimer's disease/Urine//Carnosinuria/Urine"
"24","C00147","hmdb/HMDB00034.xml","135.054495185","Blood/Cerebrospinal Fluid (CSF)/Urine","Solid tumors/Blood//Meningitis/Cerebrospinal Fluid (CSF)//Tuberculous meningitis/Cerebrospinal Fluid (CSF)//Meningitis/Cerebrospinal Fluid (CSF)"
"25","C05122","hmdb/HMDB00036.xml","515.291673489","Bile/Blood/Urine","Biliary atresia/Urine"
"26","C01780","hmdb/HMDB00037.xml","360.193674006","Blood/Saliva/Urine","Heart failure/Blood//Heart failure/Blood"
"27","C02953","hmdb/HMDB00038.xml","239.101839307","Blood/Cerebrospinal Fluid (CSF)","Kidney disease/Blood"
"28","C00246","hmdb/HMDB00039.xml","88.0524295","Blood/Cerebrospinal Fluid (CSF)/Saliva/Urine","AIDS/Urine"
"29","C00033","hmdb/HMDB00042.xml","60.021129372","Blood/Cerebrospinal Fluid (CSF)/Saliva/Urine","Heart Transplant/Blood//Multiple sclerosis/Cerebrospinal Fluid (CSF)//Breast cancer/Urine//Lung cancer/Urine//3-Hydroxy-3- methylglutaryl-CoA lyase (HL) deficency /Urine//3-Hydroxy-3- methylglutaryl-CoA lyase (HL) deficency /Urine//Arginosuccinic aciduria /Urine//Propionic acidemia /Urine//Propionic acidemia /Urine//Tyrosinemia I /Urine//Phenylketonuria /Urine//Phenylketonuria /Urine//Maple syrup urine disease /Urine//Aminoaciduria/Urine"
"30","C00719","hmdb/HMDB00043.xml","117.078978601","Blood/Urine","Heart Transplant/Blood//Chronic renal failure/Blood//Continuous ambulatory peritoneal  dialysis/Blood//Hemodialysis/Blood//Lung cancer/Urine//3-Hydroxy-3- methylglutaryl-CoA lyase (HL) deficency /Urine//3-Hydroxy-3- methylglutaryl-CoA lyase (HL) deficency /Urine//Arginosuccinic aciduria /Urine//Propionic acidemia /Urine//Propionic acidemia /Urine//Phenylketonuria /Urine//Phenylketonuria /Urine//Maple syrup urine disease /Urine//Aminoaciduria/Urine"
"31","C00072","hmdb/HMDB00044.xml","176.032087988","Amniotic Fluid/Blood/Cellular Cytoplasm/Cerebrospinal Fluid (CSF)/Urine","Hyperoxalemia/Blood//Hyperoxalemia/Blood//Canavan disease/Blood//Brain injury/Cerebrospinal Fluid (CSF)//Meningitis/Cerebrospinal Fluid (CSF)"
"32","C00020","hmdb/HMDB00045.xml","347.063084339","Blood/Cellular Cytoplasm/Cerebrospinal Fluid (CSF)/Urine",""
"33","C05402","hmdb/HMDB00048.xml","342.116211546","Urine",""
"34","C00212","hmdb/HMDB00050.xml","267.096753929","Blood/Cellular Cytoplasm/Cerebrospinal Fluid (CSF)/Urine","Septic shock/Blood"
"35","C00014","hmdb/HMDB00051.xml","17.026549101","Blood/Cellular Cytoplasm/Cerebrospinal Fluid (CSF)/Urine","Argininosuccinic aciduria (ASL)/Blood//Citrullinemia Type I/Blood//Fumaric Aciduria/Blood//Short bowel syndrome/Blood//3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency/Blood//3-Methyl-Crotonyl-Glycinuria/Blood"
"36","C03406","hmdb/HMDB00052.xml","290.122634328","Blood/Urine","Sodium citrate supplementation in Argininosuccinyl-CoA lyase deficiency/Blood//Argininemia /Urine//Argininosuccinicaciduria/Urine"
"37","C00280","hmdb/HMDB00053.xml","286.193280076","Blood/Cerebrospinal Fluid (CSF)/Urine","Polycystic ovary syndrome (PCOS)/Blood//Polycystic ovary syndrome (PCOS)/Blood//Cushing's syndrome/Blood//Cushing's syndrome/Blood//Thyroid cancer/Urine//Rheumatoid arthritis/Urine//Rheumatoid arthritis/Urine//Systemic lupus erythematosus (SLE)/Urine//Systemic lupus erythematosus (SLE)/Urine"
"38","C00486","hmdb/HMDB00054.xml","584.263484904","Bile/Blood/Cerebrospinal Fluid (CSF)/Urine","Crohn's disease/Bile//Gallstone disease/Bile//Crohn's disease/Bile//Crohn's disease/Bile//Growth hormone deficiency/Blood//Growth hormone deficiency/Blood//Crigler-Najjar syndrome Type I/Blood//Cerebral Vasospasm/Cerebrospinal Fluid (CSF)"
"39","C06422","hmdb/HMDB00055.xml","342.116211546","
  ",""
"40","C00099","hmdb/HMDB00056.xml","89.047678473","Blood/Cerebrospinal Fluid (CSF)/Urine","Dihydropyrimidine dehydrogenase (DPD) deficiency/Blood//Dihydropyrimidine dehydrogenase (DPD) deficiency/Blood//GABA transaminase deficiency/Blood//Hyper- beta-Alaninemia/Blood//Dihydropyrimidine dehydrogenase (DPD) deficiency/Cerebrospinal Fluid (CSF)//GABA transaminase deficiency/Cerebrospinal Fluid (CSF)//Hyper- beta-Alaninemia/Cerebrospinal Fluid (CSF)//Dihydropyrimidine dehydrogenase (DPD) deficiency/Urine//GABA transaminase deficiency/Urine"
"41","C00575","hmdb/HMDB00058.xml","329.052519653","Blood/Cerebrospinal Fluid (CSF)/Urine","Sildenafil-induced headache/Blood//Idiopathic polyneuritis/Cerebrospinal Fluid (CSF)//Meningitis/Cerebrospinal Fluid (CSF)//Hypoxic-ischemic encephalopathy/Cerebrospinal Fluid (CSF)//Hypoxic-ischemic encephalopathy/Cerebrospinal Fluid (CSF)//Initial slight suspicion of meningitis with normal CSF/Cerebrospinal Fluid (CSF)//Meningitis/Cerebrospinal Fluid (CSF)//Idiopathic polyneuritis/Cerebrospinal Fluid (CSF)//Chronic renal failure/Urine"
"42","C00164","hmdb/HMDB00060.xml","102.031694058","Blood/Cellular Cytoplasm/Cerebrospinal Fluid (CSF)/Urine","Heart Transplant/Blood//Diabetes/Blood//Anoxia/Cellular Cytoplasm//Glucose transporter type 1 deficiency syndrome/Cerebrospinal Fluid (CSF)//Meningitis/Cerebrospinal Fluid (CSF)//Diabetes/Urine//Ketosis/Urine"
"43","C00054","hmdb/HMDB00061.xml","427.029414749","Cellular Cytoplasm",""
"44","C15025","hmdb/HMDB00062.xml","161.105193351","Blood/Cerebrospinal Fluid (CSF)/Urine","Heart Transplant/Blood//Diabetes/Urine//Diabetes/Urine//Lung cancer/Urine"
"45","C00735","hmdb/HMDB00063.xml","362.20932407","Blood/Cerebrospinal Fluid (CSF)/Saliva/Urine","Glucocorticoid deficiency/Blood//Adrenal Hypolasia/Blood//Schizophrenia/Blood//Glucocorticoid deficiency/Blood//Major affective disorder/Blood//Tic disorder/Blood//Gynecological diseases (benign)/Cerebrospinal Fluid (CSF)//Functional hypothalamic amenorrhea/Cerebrospinal Fluid (CSF)//Stress period/Saliva//Systemic lupus erythematosus (SLE) /Urine//Systemic lupus erythematosus (SLE) /Urine//Rheumatoid arthritis /Urine//Rheumatoid arthritis /Urine//Anorexia nervosa/Urine"
"46","C00300","hmdb/HMDB00064.xml","131.069476547","Blood/Cerebrospinal Fluid (CSF)/Urine","Heart Transplant/Blood//Cirrhosis/Blood//Cirrhosis/Blood//Lung cancer/Urine//Rhabdomyolysis/Urine"
"47","C00187","hmdb/HMDB00067.xml","386.354866094","Bile/Blood/Cerebrospinal Fluid (CSF)/Saliva","Gallstone disease/Bile//Cholesterol stones/Bile//Gastric cancer/Bile//Gallstone disease/Bile//Hypercholesterolemia/Blood//Cholesteryl ester storage disease/Blood//Cystinosis/Blood//Acute myelogenous leukemia (AML)/Blood//Smith-Lemli-Opitz syndrome/Blood//Smith-Lemli-Opitz syndrome/Cerebrospinal Fluid (CSF)//Multiple Sclerosis/Cerebrospinal Fluid (CSF)"
"48","C00788","hmdb/HMDB00068.xml","183.089543287","Blood/Cerebrospinal Fluid (CSF)/Urine","Head trauma/Blood//Addison's disease/Blood//Subarachnoid haemorrhage /Blood//Addison's disease/Blood//Pheochromocytoma/Blood//Pheochromocytoma/Blood//borderline hypertensives/Cerebrospinal Fluid (CSF)//Cerebral infarction, headache, paresthesia and ununconfirmed suspicion of leucemic infaction or brain metastasis with normal CSF value/Cerebrospinal Fluid (CSF)//Cerebral infarction, headache, paresthesia and ununconfirmed suspicion of leucemic infaction or brain metastasis with normal CSF value but renal insufficiency/Cerebrospinal Fluid (CSF)//Haemorrhagic infraction/Cerebrospinal Fluid (CSF)//Bacterial meningitis/Cerebrospinal Fluid (CSF)//Leucemic meningiosa/Cerebrospinal Fluid (CSF)//Encephalitis/Cerebrospinal Fluid (CSF)//Exercise/Urine"
"49","C00408","hmdb/HMDB00070.xml","129.078978601","Amniotic Fluid/Blood/Cerebrospinal Fluid (CSF)/Urine","Infantile Refsum's disease/Blood//Peroxisomal /Blood//Peroxisomal biogenesis defect/Blood//Infantile refsum disease/Blood//Infantile Refsum's disease/Cerebrospinal Fluid (CSF)//Brain injury/Cerebrospinal Fluid (CSF)//Malaria/Cerebrospinal Fluid (CSF)//Anemia/Cerebrospinal Fluid (CSF)//Malaria/Cerebrospinal Fluid (CSF)//Tuberculosis Meningitis/Cerebrospinal Fluid (CSF)//Malaria/Cerebrospinal Fluid (CSF)//Convulsions/Cerebrospinal Fluid (CSF)//Peroxisomal biogenesis defect/Cerebrospinal Fluid (CSF)//Infantile Refsum's disease/Urine//Adrenoleukodystrophy (X-Linked)/Urine//Zellweger Syndrome/Urine//Zellweger syndrome/Urine"
"50","C05512","hmdb/HMDB00071.xml","252.085854892","Blood/Urine","Purine Nucleoside Phosphorylase Deficiency/Urine"
"51","C00417","hmdb/HMDB00072.xml","174.016437924","Cerebrospinal Fluid (CSF)/Urine","Lung cancer/Urine"
"52","C03758","hmdb/HMDB00073.xml","153.078978601","Blood/Cerebrospinal Fluid (CSF)/Urine","Alzheimer's disease/Blood//Cerebral infarction, headache, paresthesia and ununconfirmed suspicion of leucemic infaction or brain metastasis with normal CSF value/Cerebrospinal Fluid (CSF)//Cerebral infarction, headache, paresthesia and ununconfirmed suspicion of leucemic infaction or brain metastasis with normal CSF value but renal insufficiency/Cerebrospinal Fluid (CSF)//Haemorrhagic infraction/Cerebrospinal Fluid (CSF)//Bacterial meningitis/Cerebrospinal Fluid (CSF)//Leucemic meningiosa/Cerebrospinal Fluid (CSF)//Encephalitis/Cerebrospinal Fluid (CSF)//Alzheimer's disease/Cerebrospinal Fluid (CSF)//Hypothyroidism/Cerebrospinal Fluid (CSF)//Hypothyroidism/Cerebrospinal Fluid (CSF)//Alzheimer's disease/Cerebrospinal Fluid (CSF)//Vitiligo/Urine//Vitiligo/Urine//Vitiligo/Urine//Aromatic L-amino acid decarboxylase deficiency/Urine//Aromatic L-amino acid decarboxylase deficiency/Urine"
"53","C00429","hmdb/HMDB00076.xml","114.042927446","Blood/Cerebrospinal Fluid (CSF)/Urine","Dihydropyrimidine dehydrogenase (DPD) deficiency/Cerebrospinal Fluid (CSF)//Hypertension/Urine//Dihydropyrimidine dehydrogenase (DPD) deficiency/Urine//Cerebral infarction/Urine//Malignancy/Urine//Liver dysfunction/Urine//Nephrophathy/Urine"
"54","C01227","hmdb/HMDB00077.xml","288.20893014","Blood/Cerebrospinal Fluid (CSF)/Saliva/Urine","Leuprolide acetate-induce hypogonadism/Cerebrospinal Fluid (CSF)//Leuprolide acetate-induced hypogonadism with testosterone replacment/Cerebrospinal Fluid (CSF)//Rheumatoid arthritis/Urine//Rheumatoid arthritis/Urine//Systemic lupus erythematosus (SLE)/Urine//Systemic lupus erythematosus (SLE)/Urine"
"55","C01419","hmdb/HMDB00078.xml","178.041212886","Blood/Cerebrospinal Fluid (CSF)/Saliva/Urine","Phenylketonuria (PKU)/Blood"
"56","C00906","hmdb/HMDB00079.xml","128.05857751","Blood/Cerebrospinal Fluid (CSF)/Urine","Dihydropyrimidinase deficiency/Cerebrospinal Fluid (CSF)//Beta-ureidopropionase deficiency/Cerebrospinal Fluid (CSF)"
"57","C00063","hmdb/HMDB00082.xml","482.984511771","Cellular Cytoplasm",""
"58","C00330","hmdb/HMDB00085.xml","267.096753929","Blood/Urine","Purine nucleoside phosphorylase (PNP) deficiency /Blood//Purine Nucleoside Phosphorylase Deficiency/Urine"
"59","C00670","hmdb/HMDB00086.xml","257.102823889","Blood/Breast Milk/Cerebrospinal Fluid (CSF)/Semen","Vascular dementia /Cerebrospinal Fluid (CSF)//Vascular dementia/Cerebrospinal Fluid (CSF)//Alzheimer's disease/Cerebrospinal Fluid (CSF)"
"60","C00543","hmdb/HMDB00087.xml","45.057849229","Blood/Cerebrospinal Fluid (CSF)/Saliva/Urine","Kidney disease/Blood//Diabetes/Urine//Autosomal dominant polycystic kidney disease/Urine//Rhabdomyolysis/Urine//Bladder infections/Urine//Type 1 diabetes Mellitus/Urine"
"61","C00475","hmdb/HMDB00089.xml","243.085520541","Blood/Cerebrospinal Fluid (CSF)/Urine","Canavan disease/Blood//Canavan disease/Urine"
"62","C01026","hmdb/HMDB00092.xml","103.063328537","Blood/Urine","Kidney disease/Blood//Kidney disease/Blood//Kidney disease/Blood"
"63","C00158","hmdb/HMDB00094.xml","192.02700261","Blood/Cerebrospinal Fluid (CSF)/Saliva/Urine","Heart Transplant/Blood//Hyperoxalemia/Blood//Hyperoxalemia/Blood//Canavan Disease/Cerebrospinal Fluid (CSF)//Lung cancer/Urine//Rhabdomyolysis/Urine//3-Hydroxy-3- methylglutaryl-CoA lyase (HL) deficency /Urine//3-Hydroxy-3- methylglutaryl-CoA lyase (HL) deficency /Urine//Arginosuccinic aciduria /Urine//Propionic acidemia /Urine//Propionic acidemia /Urine//Tyrosinemia I /Urine//Phenylketonuria /Urine//Phenylketonuria /Urine//Maple syrup urine disease /Urine//Type 1 diabetes Mellitus/Urine//Paraquat poisoning/Urine"
"64","C00055","hmdb/HMDB00095.xml","323.051850951","
  ",""
"65","C00114","hmdb/HMDB00097.xml","104.107539075","Blood/Breast Milk/Cerebrospinal Fluid (CSF)/Saliva/Urine","Heart Transplant/Blood//Spina bifida/Cerebrospinal Fluid (CSF)//Vascular dementia /Cerebrospinal Fluid (CSF)//Spina bifida/Cerebrospinal Fluid (CSF)//Alzheimer's disease/Cerebrospinal Fluid (CSF)//Lung cancer/Urine"
"66","C00181","hmdb/HMDB00098.xml","150.05282343","Blood/Urine","Small intestinal malabsorption, HIV, & diarrhea/Blood//Kidney disease/Blood//Small intestinal malabsorption, HIV, & diarrhea/Blood//Small intestinal malabsorption, scleroderma, & bacterial overgrowth/Blood//Small intestinal malabsorption, scleroderma, & bacterial overgrowth/Blood//Small intestinal malabsorption, HIV, & cryptosporidiosis/Blood//Small intestinal malabsorption, HIV, & cryptosporidiosis/Blood//Kidney disease/Blood//Small intestinal bacterial overgrowth/Blood//Small intestinal bacterial overgrowth/Blood//Crohn's disease/Blood//HIV and diarrhea/Blood//HIV and diarrhea/Blood//Crohn's disease/Blood//Crohn's disease, short bowel/Blood//Crohn's disease, bowel obstruction/Blood//Lung cancer/Urine"
"67","C02291","hmdb/HMDB00099.xml","222.067427636","Blood/Cerebrospinal Fluid (CSF)/Urine","Folate Deficiency/Blood//Cobalamin Deficiency/Blood//Autism/Blood//Alzheimer's disease/Blood//Cystathioninuria/Urine//Gamma-Cystathionase deficiency/Urine//Alzheimer's disease/Urine"
"68","C00559","hmdb/HMDB00101.xml","251.101839307","Blood/Urine","Adenosine deaminase deficiency/Urine//Adenosine deaminase deficiency/Urine"
